"ZDB-GENE-081028-62","gabrp","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-081028-62","gabrp","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-040724-212","gabrr1","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-040724-212","gabrr1","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-060825-164","gabrr2a","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-060825-164","gabrr2a","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-060825-164","gabrr2a","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-060825-164","gabrr2a","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-041014-174","gabrr2b","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-041014-174","gabrr2b","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-080722-20","gabrr3a","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-080722-20","gabrr3a","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-131120-131","gabrr3b","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-131120-131","gabrr3b","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-080303-26","gabrz","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-080303-26","gabrz","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-080303-26","gabrz","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-060201-2","gpr156","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-980526-112","isl1","GO:0097154","","GABAergic neuron differentiation","Danio rerio","IMP"
"ZDB-GENE-060616-396","npas4a","GO:0032228","","regulation of synaptic transmission, GABAergic","Danio rerio","ISS"
"ZDB-GENE-091117-33","npas4b","GO:0032228","","regulation of synaptic transmission, GABAergic","Danio rerio","ISS"
"ZDB-GENE-090313-194","plcl1","GO:0032228","","regulation of synaptic transmission, GABAergic","Danio rerio","IEA"
"ZDB-GENE-090313-194","plcl1","GO:0050811","","GABA receptor binding","Danio rerio","IEA"
"ZDB-GENE-120426-4","plcl2","GO:0032228","","regulation of synaptic transmission, GABAergic","Danio rerio","IEA"
"ZDB-GENE-120426-4","plcl2","GO:0050811","","GABA receptor binding","Danio rerio","IEA"
"ZDB-GENE-081104-346","si:dkey-192o1.3","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-346","si:dkey-192o1.3","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-070705-213","usp46","GO:0032228","","regulation of synaptic transmission, GABAergic","Danio rerio","ISS"
