"ZDB-GENE-081104-27","dnm1a","GO:0016185","","synaptic vesicle budding from presynaptic endocytic zone membrane","Danio rerio","IBA"
"ZDB-GENE-100920-3","dnm1b","GO:0016185","","synaptic vesicle budding from presynaptic endocytic zone membrane","Danio rerio","IBA"
"ZDB-GENE-040426-1556","dnm1l","GO:0030672","","synaptic vesicle membrane","Danio rerio","IEA"
"ZDB-GENE-050913-84","dnm2a","GO:0016185","","synaptic vesicle budding from presynaptic endocytic zone membrane","Danio rerio","IBA"
"ZDB-GENE-040426-2371","dnm2b","GO:0016185","","synaptic vesicle budding from presynaptic endocytic zone membrane","Danio rerio","IBA"
"ZDB-GENE-040724-76","dnm3a","GO:0016185","","synaptic vesicle budding from presynaptic endocytic zone membrane","Danio rerio","IBA"
"ZDB-GENE-021119-2","drd2a","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-030910-2","drd2b","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-030910-1","drd2l","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-040426-1036","dtnbp1a","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-040426-1036","dtnbp1a","GO:0030672","","synaptic vesicle membrane","Danio rerio","IEA"
"ZDB-GENE-040426-1036","dtnbp1a","GO:0048490","","anterograde synaptic vesicle transport","Danio rerio","ISS"
"ZDB-GENE-060503-889","dtnbp1b","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-050522-228","fcho2","GO:0048488","","synaptic vesicle endocytosis","Danio rerio","IBA"
"ZDB-GENE-070912-141","kif5aa","GO:0048489","","synaptic vesicle transport","Danio rerio","IBA"
