"ZDB-GENE-120215-60","htr2ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-120215-60","htr2ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-120215-60","htr2ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-120215-60","htr2ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-120215-60","htr2ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-120215-60","htr2ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081022-57","htr2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081022-57","htr2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081022-57","htr2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081022-57","htr2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081104-48","htr2cl1","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-120215-109","htr2cl2","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
